"stories_id","language","title","publish_date","url"
"479469159","en","&#8216;I Don’t See Any Christian Groups Trying to Get a Nuclear Weapon&#8217;: Maher Insists Terrorism is a Uniquely Islamic Problem","2016-06-18 14:39:29","http://www.theblaze.com/stories/2016/06/18/i-dont-see-any-christian-groups-trying-to-get-a-nuclear-weapon-maher-insists-terrorism-is-a-uniquely-islamic-problem/?utm_source=TheBlaze.com&utm_medium=rss&utm_campaign=story&utm_content=i-dont-see-any-christian-groups-trying-to-get-a-nuclear-weapon-maher-insists-terrorism-is-a-uniquely-islamic-problem"
"479482807","en","Why the &#8216;lone-wolf&#8217; terrorist is a myth","2016-06-18 15:20:21","http://nypost.com/2016/06/18/why-the-lone-wolf-terrorist-is-a-myth/"
"479502943","en","Why the far right has made West Yorkshire a home","2016-06-18 18:04:02","https://www.theguardian.com/uk-news/2016/jun/18/far-right-home-in-west-yorkshire-britain-first"
"479706286","en","Face the Nation transcripts June 19, 2016: Trump, Lynch, LaPierre, Feinstein","2016-06-19 12:23:20","http://www.cbsnews.com/news/face-the-nation-transcripts-june-19-2016-trump-lynch-lapierre-feinstein/"
"480030803","en","How do domestic terrorists become radicalized?","2016-06-20 11:47:01","https://www.washingtonpost.com/news/in-theory/wp/2016/06/20/how-do-domestic-terrorists-become-radicalized/"
"480028293","en","Orlando Gunman Told Police That U.S. Should &#x2018;Stop Bombing&#x2019; Syria and Iraq","2016-06-20 11:04:22","http://www.nytimes.com/2016/06/21/us/fbi-transcripts-orlando-shooting-omar-mateen.html?partner=rss&emc=rss"
"480103881","en","Joe Biden: 'Some of the rhetoric I'm hearing' sounds like it aims to radicalize all Muslims","2016-06-20 16:05:00","http://feeds.latimes.com/~r/latimes/news/local/politics/cal/~3/h8YKY5-i23I/la-na-pol-biden-trump-20160620-snap-story.html"
"480225522","en","Trump’s Anti-Semitic Mob Came for Me","2016-06-21 01:00:00","http://feedproxy.google.com/~r/thedailybeast/articles/~3/bVjFL-NbCMU/donald-trump-s-anti-semitic-mob-came-for-me.html"
"480527082","en","Dana Loesch’s Face-to-Face Clash With Anti-Gun Advocate: ‘This Is About Due Process&#8217;","2016-06-21 10:49:20","http://www.theblaze.com/stories/2016/06/21/dana-loeschs-face-to-face-clash-with-anti-gun-advocate-this-is-about-due-process/?utm_source=TheBlaze.com&utm_medium=rss&utm_campaign=story&utm_content=dana-loeschs-face-to-face-clash-with-anti-gun-advocate-this-is-about-due-process"
"480648948","en","
	Gains against Islamic State not yet enough, could backfire: U.S. officials
      ","2016-06-22 01:00:55","http://www.dailymail.co.uk/wires/reuters/article-3653781/Gains-against-Islamic-State-not-backfire-U-S-officials.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490"
"480705776","en","Rightwing 'lone wolves' kill more than Islamists acting alone, says report","2016-06-22 04:24:46","https://www.theguardian.com/world/2016/jun/22/rightwing-lone-wolves-islamist-extremists-report-thinktank-rusi"
"480897578","en","Right-wing 'lone wolf' terrorists are greater threat to Europe than Islamist ones, report says","2016-06-22 13:15:18","https://www.washingtonpost.com/news/worldviews/wp/2016/06/22/right-wing-lone-wolf-terrorists-are-greater-threat-to-europe-than-islamist-ones-says-report/"
"481002837","en","How a Young Londoner Escaped Radical Islam","2016-06-22 18:45:13","http://www.huffingtonpost.com/rodney-wilson/how-a-young-londoner-esca_b_10570648.html"
